MSN,YYYY,MM,Value,Column_Order,Description,Unit
FFTCBUS,1979,7,5.619578,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,8,5.814576,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,9,5.431098,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,10,5.911981,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,11,6.049123,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,12,6.682671,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1979,13,72.843726,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,1,6.864636,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,2,6.482913,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,3,6.328141,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,4,5.470245,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,5,5.283326,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,6,5.168984,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,7,5.42874,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,8,5.36277,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,9,5.305752,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,10,5.640628,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,11,5.775618,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,12,6.667805,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1980,13,69.782203,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,1,6.904959,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,2,5.810571,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,3,5.910062,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,4,5.20014,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,5,5.231949,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,6,5.255929,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,7,5.452931,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,8,5.352038,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,9,5.135095,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,10,5.490746,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,11,5.459212,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,12,6.315167,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1981,13,67.522504,4,Total Fossil Fuels Consumption,Quadrillion Btu
